source,edge,target,sentence,edge-comments,label
vaccine industry,Congress pledged to protect from,lawsuit,vaccine industry Congress pledged to protect from lawsuit,,neg
childhood vaccines,contain many,shingles vaccine ingredients,childhood vaccines contain many shingles vaccine ingredients,,neg
parents,can always choose to not send children to,schools,parents can always choose to not send children to schools,,pos
teen girls,eligible for free HPV vaccine ended up with fewer cases of,genital warts,teen girls eligible for free HPV vaccine ended up with fewer cases of genital warts,,pos
flu shot campaign,can only be viewed as prelude to much,larger campaign,flu shot campaign can only be viewed as prelude to much larger campaign,,neg
measles vaccine,has public,health benefits,measles vaccine has public health benefits,says William Moss,pos
vaccine additives,include,mercury,vaccine additives include mercury,,neg
home-school,children do not have same,vaccine requirements,home-school children do not have same vaccine requirements,,pos
thimerosal,is questionable,vaccine ingredients,thimerosal is questionable vaccine ingredients,,neg
New York Times,has sellout pages,Big Pharma,New York Times has sellout pages Big Pharma,,neg
Merck,remains confident,Gardasil,Merck remains confident Gardasil,,neg
teens,recommended to get,booster dose,teens recommended to get booster dose,,pos
flu shots,contains up to 50 micrograms of,thimerosal,flu shots contains up to 50 micrograms of thimerosal,,neg
American Medical Association,supports on both state and federal levels to end,personal belief exemption,American Medical Association supports on both state and federal levels to end personal belief exemption,,pos
autism rise,CDC claims due to,environmental issues,autism rise CDC claims due to environmental issues,,neg
genetic correlation,there is with,vaccine damage,genetic correlation there is with vaccine damage,,neg
rational scientist,cannot believe it is somehow safe injecting infants and children with,mercury,rational scientist cannot believe it is somehow safe injecting infants and children with mercury,,neg
vaccine additives,are,harmful toxins,vaccine additives are harmful toxins,,neg
vaccines,as many as eight vaccines in,single visit,vaccines as many as eight vaccines in single visit,,neg
mandatory vaccines,recently failed due to action taken by,parents of vaccine-injured children,mandatory vaccines recently failed due to action taken by parents of vaccine-injured children,,neg
measles,affects,immune system,measles affects immune system,for two to three years,pos
pro-vaccination,in Africa discovered laced vaccines given to,African women,pro-vaccination in Africa discovered laced vaccines given to African women,,neg
CDC,does not recommend revaccination for people who received the recalled,2014-2015 FLULAVAL QUADRIVALENT flu vaccine,CDC does not recommend revaccination for people who received the recalled 2014-2015 FLULAVAL QUADRIVALENT flu vaccine,,pos
vaccines,are lawful to use if no safe effective,vaccine alternatives,vaccines are lawful to use if no safe effective vaccine alternatives,says the Church,pos
vaccination,number has dramatically increased for,children,vaccination number has dramatically increased for children,,neg
measles,in the near future can be,eliminated virus,measles in the near future can be eliminated virus,,pos
drug companies,likely to push for mandated use of new,vaccines,drug companies likely to push for mandated use of new vaccines,,neg
anti-vaccination website,has someone looking to make a buck selling,secretin,anti-vaccination website has someone looking to make a buck selling secretin,says Dr. Mark Schleiss,pos
autism rate,have,risen,autism rate have risen,to new heights,neg
shingles vaccine ingredients,virtually the same as other,vaccine ingredients,shingles vaccine ingredients virtually the same as other vaccine ingredients,,neg
vaccine industry,has vested interest in trying to make sure there are more,mandatory vaccines,vaccine industry has vested interest in trying to make sure there are more mandatory vaccines,,neg
